Name,Emotional value,Health value,Product group,Energy (kcal),Energy (kJoule),Water,Protein,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Trans fat,Cholesterol,Carbohydrates,Sugars,Polysaccharides,Dietary fiber,Vitamin A (Retinol),Vitamin B1 (Thiamine),Vitamin B (Repulfvin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B11 (Folic acid),Vitamin B12 (Cobalamin),Vitamin C (Ascorbic Acid),Vitamin D (Calcifine),Vitamin E (Tocopherol),Vitamin K (Phyloquinone),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Iron (Fe),Magnesium (Mg),Copper (Cu),Zinc (Zn),Selenium (Se),Iodine (I),Manganese (Mn)
"Apple, fresh",8.4,,Fruit,54.0,229.0,84.3,0.4,0.0,0.0,0.0,0.0,,0.0,12.0,11.8,,2.3,0.0,0.02,0.01,,0.05,3.0,0.0,10.0,0.0,,,2.0,120.0,4.0,10.0,0.2,5.0,0.1,0.04,,,
"Applesauce, canned, sweetened",7.2,,Fruit,81.0,341.0,78.5,0.2,0.1,0.0,0.0,0.0,,0.0,19.2,19.2,,1.0,0.0,0.02,0.01,,0.05,0.0,0.0,2.0,0.0,,,3.0,114.0,4.0,7.0,0.1,3.0,0.01,0.02,,,
"Apricot, canned, no skin",5.9,,Fruit,74.0,310.0,80.3,0.5,0.1,0.0,0.0,0.0,,0.0,17.0,16.0,,1.1,0.1,0.02,0.02,,0.05,1.0,0.0,4.0,0.0,,,13.0,196.0,11.0,15.0,0.7,5.0,0.05,0.1,,,
"Apricot, dried",6.2,,Fruit,274.0,1145.0,26.9,5.0,0.1,0.0,0.0,0.0,,0.0,58.5,55.8,,8.5,0.18,0.17,0.12,,0.17,7.0,0.0,10.0,0.0,,,10.0,1400.0,80.0,110.0,4.4,60.0,0.8,0.4,,,
"Apricot, fresh",7.4,,Fruit,60.0,252.0,83.4,1.4,0.4,0.0,0.0,0.0,,0.0,11.5,7.7,,2.3,0.18,0.06,0.05,,0.06,4.0,0.0,9.0,0.0,,,0.0,280.0,16.0,20.0,0.0,10.0,0.0,0.0,,,
"Bananas, fresh",8.0,,Fruit,86.0,363.0,76.8,1.2,0.2,0.0,0.0,0.1,,0.0,18.8,18.2,,2.0,0.01,0.04,0.06,,0.37,15.0,0.0,12.0,0.0,,,1.0,400.0,8.7,28.0,0.6,30.0,0.13,0.22,,,
Black currant,7.3,,Fruit,47.0,200.0,85.6,1.2,0.2,0.0,0.0,0.0,,0.0,8.5,7.0,,3.5,0.12,0.03,0.04,,0.05,8.0,0.0,150.0,0.0,,,5.0,190.0,45.0,30.0,0.9,15.0,0.15,0.3,,,
"Blackberries, raw",7.8,,Fruit,58.0,243.0,83.1,1.2,1.0,0.1,0.1,0.6,,0.0,8.5,6.8,,5.2,0.12,0.03,0.04,,0.05,20.0,0.0,17.0,0.0,,,3.0,190.0,45.0,30.0,0.9,30.0,0.7,0.0,,,
Blueberries,6.7,,Fruit,75.0,316.0,77.1,0.6,0.2,0.0,0.0,0.0,,0.0,14.5,14.0,,6.6,0.02,0.02,0.02,,0.06,10.0,0.0,12.0,0.0,,,4.0,60.0,12.0,16.0,2.5,5.0,0.07,0.2,,,
"Cherries, red, sour, fresh",5.8,,Fruit,52.0,220.0,84.9,1.0,0.0,0.0,0.0,0.0,,0.0,11.0,11.0,,2.1,0.0,0.02,0.02,,0.04,4.0,0.0,10.0,0.0,,,2.0,190.0,10.0,20.0,0.4,10.0,0.06,0.1,,,
